"Action","Actie"
"In order for reCaptcha to work please enter valid public and private keys. You can get those by visiting <a href='http://www.google.com/recaptcha/whyrecaptcha' target='_blank'>this page</a>","In order for reCaptcha to work please enter valid public and private keys. You can get those by visiting <a href='http://www.google.com/recaptcha/whyrecaptcha' target='_blank'>this page</a>"
"Information","Information"
"Last Modified","Last Modified"
"Last Result","Last Result"
"Manage Forms","Manage Forms"
"Name","Name"
"New Field Set","New Field Set"
"Notification e-mail address","Notification e-mail address"
"Please, don`t reply to this e-mail!","Please, don`t reply to this e-mail!"
"Position","Position"
"Private key","Private key"
"Public key","Public key"
"reCaptcha settings","reCaptcha settings"
"Redirect URL","Redirect URL"
"Redirect to specified url after successful submission","Redirect to specified url after successful submission"
"Registered customers only","Registered customers only"
"Required","Required"
"Result was successfully deleted","Result was successfully deleted"
"Results settings","Results settings"
"Results","Results"
"Result label","Result label"
"Result label will be used on results page","Result label will be used on results page"
"Results per page","Results per page"
"Select / Checkbox","Select / Checkbox"
"Select / Radio","Select / Radio"
"Select","Select"
"Send by e-mail","Send by e-mail"
"Send results by e-mail","Send results by e-mail"
"Send selected results by e-mail?","Send selected results by e-mail?"
"Settings","Settings"
"Size","Size"
"Standard - two neighbour fields will be merged in one row<br />Wide - field will be wide and single in a row","Standard - two neighbour fields will be merged in one row<br />Wide - field will be wide and single in a row"
"Standard","Standard"
"Status","Status"
"Store group","Store group"
"Store name","Store name"
"Success text","Success text"
"Survey mode allows filling up the form only one time","Survey mode allows filling up the form only one time"
"Survey mode","Survey mode"
"Text / E-mail","Text / E-mail"
"Text / Number","Text / Number"
"Text","Text"
"Textarea","Textarea"
"This address will be used by default to send you new results notifications","This address will be used by default to send you new results notifications"
"This address will be used in reply-to field in customer notification","This address will be used in reply-to field in customer notification"
"This field will be used as a subject in notification e-mail","This field will be used as a subject in notification e-mail"
"This text will appear under the form name","This text will appear under the form name"
"This text will be displayed after the form completion","This text will be displayed after the form completion"
"This will limit long field names in results table. It doesn`t affect export","This will limit long field names in results table. It doesn`t affect export"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Type","Type"
"Use as e-mail subject","Use as e-mail subject"
"Uploaded file(s) has none of allowed extensions: %s","Uploaded file(s) has none of allowed extensions: %s"
"Values for select type field should be separated with new line (the first listed value is default).<br />You can use following variables for default values:<br />{{firstname}} - logged in customer first name <br />{{lastname}} - logged in customer last name <br />{{email}} - logged in customer e-mail address","Values for select type field should be separated with new line (the first listed value is default).<br />You can use following variables for default values:<br />{{firstname}} - logged in customer first name <br />{{lastname}} - logged in customer last name <br />{{email}} - logged in customer e-mail address"
"Verification code was not correct. Please try again.","Verification code was not correct. Please try again."
"Web-form '%s' submitted","Web-form '%s' submitted"
"Web-form does not exist","Web-form does not exist"
"Web-form was successfully deleted","Web-form was successfully deleted"
"Web-form was successfully saved","Web-form was successfully saved"
"Web-forms Module","Web-forms Module"
"Web-form new result","Web-form new result"
"Web-form new result (customer duplicate)","Web-form new result (customer duplicate)"
"Web-forms Result","Web-forms Result"
"Web-forms Section","Web-forms Section"
"Web-forms","Web-forms"
"Web-forms: Form","Web-forms: Form"
"Web-forms: Results","Web-forms: Results"
"Wide","Wide"
"You can also use it for additional field validation (see Prototype validation classes)","You can also use it for additional field validation (see Prototype validation classes)"
"You have submitted '%s' form on %s website","You have submitted '%s' form on %s website"
"Field Set","Field Set"
"Contacts web-form","Contacts web-form"
"Select web-form to replace default contacts page","Select web-form to replace default contacts page"
"Replace default Magento contacts page (yourdomain.com/contacts) with the prefered web-form","Replace default Magento contacts page (yourdomain.com/contacts) with the prefered web-form"
"This will limit long field names in results table. It doesn`t affect export","This will limit long field names in results table. It doesn`t affect export"
"Upload limit","Upload limit"
"Grid thumbnail width","Grid thumbnail width"
"Thumbnail width in results grid","Thumbnail width in results grid"
"Grid thumbnail height","Grid thumbnail height"
"Thumbnail height in results grid","Thumbnail height in results grid"
"E-mail thumbnail width","E-mail thumbnail width"
"Thumbnail width in e-mail notifications","Thumbnail width in e-mail notifications"
"E-mail thumbnail height","E-mail thumbnail height"
"Thumbnail height in e-mail notifications","Thumbnail height in e-mail notifications"
"Forms will be submitted without page reloading","Forms will be submitted without page reloading"
"Login redirect URL","Login redirect URL"
"Mode","Mode"
"Auto (hidden for logged in customers)","Auto (hidden for logged in customers)"
"Always on","Always on"
"Off","Off"
"Red","Red"
"White","White",
"Blackglass","Blackglass",
"Clean","Clean"
"Customer e-mail template","Customer e-mail template"
"E-mail template for customers notification letters","E-mail template for customers notification letters"
"Captcha mode","Captcha mode"
"Select values should be separated with new line (start with ^ to check default).<br />Default values: <i>{{firstname}}, {{lastname}}, {{email}} etc</i> - logged in customer information<br/>Select/Contact values format:<br/><i>Name &lt;mailbox@mysite.com&gt;</i>","Select values should be separated with new line (start with ^ to check default).<br />Default values: <i>{{firstname}}, {{lastname}}, {{email}} etc</i> - logged in customer information<br/>Select/Contact values format:<br/><i>Name &lt;mailbox@mysite.com&gt;</i>"
"Web-form is not active.","Web-form is not active."
