"%s","%s"
"%s already exist.","%s bestaat al"
"%s already exists.","%s bestaat al"
"-- Please Select --","-- Selecteer a.u.b. --"
"Base URL","Basis-URL"
"Base Unsecure URL","Base Unsecure URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Controleer voordat u de winkelzicht aanpast, of het niet gebruikt wordt in index.php"
"Before modifying the website code please make sure that it is not used in index.php.","Controleer voordat u de winkelzicht aanpast, of het niet gebruikt wordt in index.php"
"Block with name ""%s"" already exists","Blok met naam ""%s"" bestaat al"
"Browser Capabilities Detection","Detectie van browsermogelijkheden"
"CSS Settings","CSS instellingen"
"Cache Storage Management","Beheer cachegeheugen"
"Cache storage may contain additional data. Are you sure that you want flush it?","Cache storage may contain additional data. Are you sure that you want flush it?"
"Can not create invoice. Order was not found.","Can not create invoice. Order was not found."
"Can't retrieve request object","Kan verzoekobject niet ophalen"
"Can\'t retrieve entity config: %s","Can\'t retrieve entity config: %s"
"Cancel","Annuleren"
"Cannot complete this operation from non-admin area.","Kan deze actie niet voltooien vanuit een niet-admin gebied"
"Card type does not match credit card number.","Kaartnummer niet herkend door creditcard-maatschappij/"
"Code","Interne naam"
"Controller file was loaded but class does not exist","Controller-bestand is geladen, maar de class bestaat niet"
"Cookie Domain","Cookie Domein"
"Cookie Lifetime","Cookie levensduur"
"Cookie Path","Cookie Pad"
"Cookie Restriction Mode","Cookie Restriction Mode"
"Copyright","Auteursrecht"
"Core","Core"
"Countries Options","Landenopties"
"Country","Land"
"Create Store","Winkel aanmaken"
"Create Store View","Winkelzicht aanmaken"
"Create Website","Website aanmaken"
"Credit card number does not match credit card type.","Kaartnummer niet geldig voor creditcard-maatschappij."
"Current Package Name","Huidige pakketnaam"
"Custom Admin Path","Custom Admin Path"
"Custom Admin URL","Aangepaste admin-URL"
"Custom Design","Eigen ontwerp"
"Custom Email 1","Eigen e-mail 1"
"Custom Email 2","Eigen e-mail 2"
"Custom Variables","Eigen variabelen"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Customer Support","Klantenondersteuning"
"Dashboard","Dashboard"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Date/time format ""%s"" is not supported.","Het datum/tijd-formaat ""%s"" wordt niet ondersteund"
"Debug","Debuggen"
"Default","Standaard"
"Default Country","Standaardland"
"Default Description","Standaard-omschrijving"
"Default Keywords","Standaard-keywords"
"Default No-route URL","Standaard-URL Niet gevonden"
"Default Pages","Standaardpagina's"
"Default Robots","Standaard Robots"
"Default Store","Standaard Winkel"
"Default Store View","Standaard Winkelzicht"
"Default Title","Standaardtitel"
"Default Web URL","Standaard-web-URL"
"Delete","Verwijder"
"Delete Store","Winkel verwijderen"
"Delete Store View","Winkelzicht verwijderen"
"Delete Website","Website verwijderen"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Het verwijderen van een %1$s leidt niet tot de verwijdering van de gegevens die eraan gekoppeld zijn (bijv. categorie&euml;n, producten, etc.), maar de verwijdering kan niet ongedaan gemaakt worden. Wij adviseren u een backup te maken van uw database voordat u de verwijdering uitvoert."
"Design","Ontwerp"
"Design Change","Ontwerpverandering"
"Developer","Ontwikkelaar"
"Developer Client Restrictions","Beperk bewerkingen in omgeving o.b.v. IP adres"
"Disable Email Communications","Schakel e-mail communicatie uit"
"Disable Modules Output","Schakel uitvoer van modules uit"
"Display Demo Store Notice","Toon melding demowinkel"
"Duplicate Of Template Name","Kopie van sjabloon-naam"
"Edit Design Change","Ontwerpverandering bewerken"
"Edit Store","Winkel bewerken"
"Edit Store View","Winkelzicht bewerken"
"Edit Website","Website wijzigen"
"Empty identifier field name","Lege identifier van veldnaam"
"Empty main table name","Lege naam hoofdtabel"
"Enable Charts","Grafieken tonen"
"Enabled","Ingeschakeld"
"Enabled for Admin","Ingeschakeld voor backend"
"Enabled for Frontend","Ingeschakeld voor frontend"
"Environment Update Time","Update tijd"
"Error in file: ""%s"" - %s","Fout in bestand: ""%s"" - %s"
"European Union Countries","European Union Countries"
"Exceptions Log File Name","Bestandsnaam uitzonderingen-log"
"Favicon Icon","Favicon Icoon"
"File %s does not exist","File %s does not exist"
"File %s is not readable","File %s is not readable"
"File not found","File not found"
"File system","File system"
"File with an extension ""%value%"" is protected and cannot be uploaded","File with an extension ""%value%"" is protected and cannot be uploaded"
"First Day of Week","Eerste dag van de week"
"Flush Cache Storage","Leeg Cachegeheugen"
"Flush Magento Cache","Leeg Magento Cache"
"Footer","Footer"
"Forgot Password Email Sender","Wachtwoord e-mailafzender vergeten"
"Forgot Password Email Template","Wachtwoord e-mailsjabloon vergeten"
"General","Algemeen"
"General Contact","Algemeen contact"
"General Contact Email","General Contact Email"
"General Contact Name","General Contact Name"
"General Settings","Algemene instellingen"
"Get info about current Magento installation","Get info about current Magento installation"
"Global","Systeem"
"HTML Head","HTML head"
"HTML tags are not allowed","HTML tags are not allowed"
"Header","Header"
"Host","POP3 hostnaam"
"How many links to display at once.","Geef aan hoeveel links tegelijkertijd getoond mogen worden."
"ID Path for Specified Store","ID-pad voor opgegeven winkel"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Als de huidige positie van het frame niet de uiterste pagina's bevat, zal de render verwijzen naar de huidige positie plus/min deze waarde."
"Incorrect credit card expiration date.","Onjuiste vervaldatum van creditcard."
"Input type ""%value%"" not found in the input types list.","Input type ""%value%"" not found in the input types list."
"Invalid URL '%value%'.","Invalid URL '%value%'."
"Invalid base url type","Ongeldig basis-URL type"
"Invalid block name to set child %s: %s","Ongeldige bloknaam om kind in te stellen %s: %s"
"Invalid block type: %s","Ongeldig bloktype: %s"
"Invalid block: %s","Ongeldig blok: %s"
"Invalid connection","Invalid connection"
"Invalid layout update handle","Ongeldige layout-update handeling"
"Invalid messages storage ""%s"" for layout messages initialization","Ongeldige berichtenopslag ""%s"" voor initialisatie layout berichten"
"Invalid query","Invalid query"
"Invalid transactional email code: ","Invalid transactional email code: "
"Invalid website\'s configuration path: %s","Invalid website\'s configuration path: %s"
"JavaScript Settings","JavaScript instellingen"
"Layout","Layout"
"Leave empty for access from any location.","Indien het veld leeg is, zal deze functionaliteit voor iedereen zichtbaar zijn"
"List of stores","List of stores"
"Locale","Taal"
"Locale Options","Lokalisatie-opties"
"Log Settings","Log-instellingen"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logbestand wordt opgeslagen in: {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logbestand wordt opgeslagen in: {{base_dir}}/var/log"
"Login is Case Sensitive","Wachtwoord is hoofdlettergevoelig"
"Logo Image","Logo Image"
"Logo Image Alt","Alt-tekst logo"
"Logo Image Src","Bronbestand van logo"
"Magento info","Magento info"
"Magento info API","Magento info API"
"Mail Sending Settings","Mailinstellingen"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Let erop dat de URL eindigt met een '/' (slash). Het aanpassen van dit is niet zonder risico's."
"Manage Stores","Beheer winkels"
"Match expressions in the same order as displayed in the configuration.","Zorg dat expressies in dezelfde volgorde staan als getoond in de configuratie"
"Media Storage","Media opslag"
"Merge CSS Files","CSS bestanden samengevoegen"
"Merge JavaScript Files","JavaScript-bestanden samenvoegen"
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous Scripts","Diverse scripts"
"Model collection resource name is not defined.","Bronnaam model collection is niet gedefinieerd."
"Module ""%1$s"" cannot depend on ""%2$s"".","Module ""%1$s"" cannot depend on ""%2$s""."
"Module ""%1$s"" requires module ""%2$s"".","Module ""%1$s"" requires module ""%2$s""."
"Name","Naam"
"New Design Change","Nieuwe ontwerpverandering"
"New Store","Nieuwe winkel"
"New Store View","Nieuwe winkelzicht"
"New Website","Nieuwe website"
"No","Nee"
"Offloader header","Offloader header"
"PHP SOAP extension is required.","PHP SOAP extension is required."
"Package","Pakket"
"Pagination","Paginanummering"
"Pagination Frame","Paginaoverzicht"
"Pagination Frame Skip","Paginaoverzicht overslaan"
"Parent directory does not exist: %s","Parent directory does not exist: %s"
"Path ""%value%"" is not available and cannot be used.","Path ""%value%"" is not available and cannot be used."
"Path ""%value%"" is protected and cannot be used.","Path ""%value%"" is protected and cannot be used."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Path ""%value%"" may not include parent directory traversal (""../"", ""..\\)."""
"Please define flag code.","Definieer 'flag code' a.u.b."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Voer a.u.b. zes of meer tekens in. Spaties aan begin of eind zullen worden genegeerd."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Voer a.u.b. zes of meer tekens in . Wachtwoorden moeten zowel numerieke en alfanumerieke tekens bevatten."
"Please enter a number 0 or greater in this field.","Voer in dit veld a.u.b. een getal gelijk aan of groter dan 0 in."
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Please enter a number greater than 0 in this field.","Voer in dit veld a.u.b. een getal groter dan 0 in."
"Please enter a number lower than 100.","Voer in dit veld a.u.b. een getal lager dan 100 in."
"Please enter a valid $ amount. For example $100.00.","Voer een geldig € bedrag op. Bijvoorbeeld: €100,00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Voer a.u.b. een geldige URL in. Bijvoorbeeld http://www.voorbeeld.com of www.voorbeeld.com."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Geef een geldige URL op. Protocol is vereist (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Voer a.u.b. een geldige XML-identifier in. Bijvoorbeeld something_1, block5, id-4."
"Please enter a valid credit card number.","Geef a.u.b. een geldig creditcard-nummer op."
"Please enter a valid credit card verification number.","Geef a.u.b. een geldig creditcard-nummer op."
"Please enter a valid date between %s and %s","Please enter a valid date between %s and %s"
"Please enter a valid date equal to or greater than %s","Please enter a valid date equal to or greater than %s"
"Please enter a valid date less than or equal to %s","Please enter a valid date less than or equal to %s"
"Please enter a valid date.","Geef a.u.b. een geldige datum op."
"Please enter a valid day (1-%d).","Please enter a valid day (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Geef a.u.b. een geldig e-mailadres op. Bijvoorbeeld: iemand@domein.nl."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Geef a.u.b. een geldig faxnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890"
"Please enter a valid full date","Please enter a valid full date"
"Please enter a valid month (1-12).","Please enter a valid month (1-12)."
"Please enter a valid number in this field.","Voer a.u.b. een geldig getal in dit veld in."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef a.u.b. een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","Geef a.u.b. een geldig Burger Service Nummer op. Bijvoorbeeld 123-45-6789."
"Please enter a valid year (1900-%d).","Please enter a valid year (1900-%d)."
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Please enter issue number or start date for switch/solo card type.","Voer een geldig nummer of een geldige startdatum in voor het switch/solo kaarttype."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Voer een geldige CSS-lengte in. Bijvoorbeeld 100px, 77pt of 50%."
"Please make sure your passwords match.","Zorg dat de wachtwoorden overeenkomen."
"Please select State/Province.","Selecteer a.u.b. een provincie."
"Please select a file","Please select a file"
"Please select an option.","Selecteer a.u.b. een optie."
"Please select one of the above options.","Selecteer a.u.b. één van de hierboven genoemde opties."
"Please select one of the options.","Selecteer a.u.b. één van de opties."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"Please specify either a category or a product, or both.","Specificeer a.u.b. een categorie, product of beide."
"Please use letters only (a-z or A-Z) in this field.","Gebruik uitsluitend letters  (a-z en A-Z) in dit veld."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Gebruik a.u.b. alleen getallen in dit veld, vermijd spaties of andere tekens zoals punten en komma's"
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruik uitsluitend letters (a-z en A-Z) in dit veld. Gebruik geen spaties of andere tekens."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Gebruik uitsluitend letters (a-z en A-Z) in dit veld. Gebruik geen spaties of andere tekens."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Gebruik uitsluitend letters (a-z en A-Z) in dit veld. Gebruik geen spaties of andere tekens. Het eerste teken moet een letter zijn."
"Please use only visible characters and spaces.","Gebruik uitsluitend letters (a-z en A-Z) in dit veld. Gebruik geen spaties of andere tekens."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please wait, loading...","Bezig met laden... Een ogenblikje a.u.b."
"Polls","Poll"
"Port (25)","Poort (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Request Path for Specified Store","Pad opvragen voor gespecificeerde winkel"
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Requested file may not include parent directory traversal (""../"", ""..\\ notation)"""
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set.","Bron is niet ingesteld."
"Retrieve info about current Magento installation","Retrieve info about current Magento installation"
"Retrieve store data","Retrieve store data"
"Retrieve store list","Retrieve store list"
"Return-Path Email","Ontvangstadres voor e-mails."
"Root Category","Basis-categorie (root)"
"Sales Representative","Vertegenwoordiger"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Save","Opslaan"
"Save Store","Winkel opslaan"
"Save Store View","Winkelzicht opslaan"
"Save Website","Website opslaan"
"Search Engines Optimization","Zoekmachine-optimalisatie (SEO)"
"Secure","Veilig"
"Security","Beveiliging"
"Select Date","Datum selecteren"
"Select Media Database","Select Media Database"
"Sender Email","Afzender e-mail"
"Sender Name","Naam afzender"
"Services","Services"
"Session Cookie Management","Sessiecookie beheer"
"Session Lifetime (seconds)","Levensduur sessie (seconden)"
"Session Validation Settings","Instellingen sessievalidatie"
"Set Return-Path","Ontvangstadres voor e-mails instellen."
"Set as Default","Instellen als standaard"
"Skin (Images / CSS)","Skin (Afbeeldingen / CSS)"
"Sort Order","Sorteervolgorde"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Start date cannot be greater than end date.","Startdatum kan niet later zijn dan einddatum."
"Startup Page","Startpagina"
"Status","Status"
"Storage Configuration for Media","Opslaglocatie voor mediabestanden"
"Store","Winkel"
"Store API","Store API"
"Store Contact Address","Adres webwinkel"
"Store Contact Information","Contactinformatie"
"Store Contact Telephone","Telefoonnummer webwinkel"
"Store Email Addresses","E-mailadressen van winkel"
"Store Information","Winkelgegevens"
"Store Name","Winkelnaam"
"Store View","Winkelzicht"
"Store View Information","Winkelzichtgegevens"
"Store View Name","Winkelzichtnaam"
"Store view doesn't exist","Winkelzicht bestaat niet"
"Store with the same code","Opslaan met dezelfde code"
"System","Systeem"
"System Log File Name","Bestandsnaam 'system log'"
"Template Path Hints","Hints template-pad"
"Template Settings","Template instellingen"
"Template Variables","Templatevariabelen"
"Templates","Sjablonen"
"Text length does not satisfy specified text range.","Tekstlengte komt niet overeen met de gespecificeerde lengte."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","De winkelcode mag alleen letters (a-z), cijfers (0-9) of een underscore (_) bevatten. Het eerste teken moet een letter zijn."
"The store does not exist","De winkel bestaat niet"
"The store has been deleted.","De winkel is verwijderd."
"The store has been saved.","De winkel is opgeslagen."
"The store view has been deleted.","Het winkelzicht is verwijderd."
"The store view has been saved","Het winkelzicht is opgeslagen"
"The template Name must not be empty.","De templatenaam mag niet leeg zijn."
"The value is not within the specified range.","De waarde is niet beschikbaar."
"The website does not exist.","De website bestaat niet."
"The website has been deleted.","De website is verwijderd."
"The website has been saved.","De website is opgeslagen."
"Themes","Thema's"
"This category and all its child elements","Deze categorie en alle sub-elementen (children)"
"This category and its child categories only","Deze categorie en de sub-categorie&euml;n"
"This category and its products only","Deze categorie en de producten erin"
"This category only","Alleen deze categorie"
"This date is a required value.","Datum is een verplicht veld."
"This is a required field.","Dit is een verplicht veld."
"This store cannot be deleted.","Deze winkel kan niet worden verwijderd."
"This store view cannot be deleted.","Het winkelzicht kan niet worden verwijderd."
"This website cannot be deleted.","Deze website kan niet worden verwijderd."
"This will be displayed just before body closing tag.","Dit script wordt geplaatst aan het einde van de HTML pagina, voor het einde van BODY."
"This will be included before head closing tag in page HTML.","Dit script wordt geplaatst aan het begin van de HTML pagina, voor het einde van HEAD."
"Timezone","Tijdzone"
"Title Prefix","Titel-prefix (voor de naam)"
"Title Suffix","Titel-suffix (achter de naam)"
"Transactional Emails","Beheer e-mail-sjablonen"
"Translate Inline","Inline vertaling"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Deactiveer de vertaalcache voor zowel frontend als backend."
"Translations","Vertalingen"
"Two and more slashes together are not permitted in request path","Twee of meer slashes achter elkaar zijn niet toegestaan in het verzoekpad."
"Two and more slashes together are not permitted in url rewrite suffix","Twee of meer slashes achter elkaar zijn niet toegestaan in de url-rewrite suffix."
"Unable to create directory: %s","Unable to create directory: %s"
"Unable to delete store view. Please, try again later.","Kan winkelzicht niet verwijderen. Probeer het later opnieuw."
"Unable to delete store. Please, try again later.","Kan winkel niet verwijderen. Probeer het later opnieuw."
"Unable to delete website. Please, try again later.","Kan website niet verwijderen. Probeer het later opnieuw."
"Unable to proceed. Please, try again","Kan niet doorgaan. Probeer het nog een keer a.u.b."
"Unable to proceed. Please, try again.","Kan niet doorgaan. Probeer het nog een keer a.u.b."
"Unable to save file ""%s"" at ""%s""","Unable to save file ""%s"" at ""%s"""
"Unable to save file: %s","Unable to save file: %s"
"Unknown old style column type definition: {$definition}.","Unknown old style column type definition: {$definition}."
"Unknown scope ""%s"".","Onbekende scope: ""s""."
"Unsecure","Onveilig"
"Url Options","URL-opties"
"Use Custom Admin Path","Maak gebruik van eigen Admin URL"
"Use Custom Admin URL","Gebruik eigen admin-URL"
"Use HTTP Only","Alleen HTTP gebruiken"
"Use SID on Frontend","Gebruik SID in frontend"
"Use Secure URLs in Admin","Gebruik veilige URL’s in admin"
"Use Secure URLs in Frontend","Gebruik veilige URL"
"Use Web Server Rewrites","Gebruik webserver-rewrites"
"VAT Number","VAT Number"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT valideren"
"Validate HTTP_VIA","HTTP_VIA valideren"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR valideren"
"Validate REMOTE_ADDR","REMOTE_ADDR valideren"
"Validation has failed.","Validatie is mislukt."
"Values less than 60 are ignored. Note that changes will apply after logout.","Waardes onder 60 seconden worden genegeerd. Wijzigingen worden actief na uitloggen."
"Variable Code must be unique.","Variabele code moet uniek zijn"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Waarschuwing! Het activeren van deze functionaliteit wordt niet aanbevolen in productieomgevingen. Het bevat momenteel mogelijk een beveiligsingsrisico."
"Web","Web"
"Website","Website"
"Website Information","Websitegegevens"
"Website Name","Websitenaam"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","De websitecode mag alleen letters (a-z), cijfers (0-9) of een underscore (_) bevatten. Het eerste teken moet een letter zijn."
"Website with the same code","Website met dezelfde code"
"Weekend Days","Weekenddagen"
"Welcome Text","Welkomsttekst"
"Wrong file info format","Wrong file info format"
"Wrong number of arguments for %s","Fout aantal argumenten voor %s"
"Wrong old style column type definition: {$definition}.","Wrong old style column type definition: {$definition}."
"Yes","Ja"
"You will have to log in after you save your custom admin path.","You will have to log in after you save your custom admin path."
"Your design change for the specified store intersects with another one, please specify another date range.","Uw designverandering voor de geselecteerde winkel conflicteert met een andere. Selecteer een andere datum."
"database ""%s""","database ""%s"""
